,Player,Current3FGP,PredictedChange,95PLowerBound,95PUpperBound,MeanPredicted3FGP,Actual3FGP,Actual-MeanPrediction
81,Greivis Vasquez,0.377,-0.00086178,0.374,0.378,0.376,0.379,0.003
134,Klay Thompson,0.417,-0.040542,0.295,0.458,0.376,0.439,0.063
103,Jeremy Lin,0.358,0.016256,0.342,0.407,0.374,0.369,-0.005
149,Mario Chalmers,0.385,-0.010374,0.354,0.395,0.374,0.294,-0.08
67,Eric Gordon,0.391,-0.018739,0.335,0.41,0.372,0.448,0.076
220,Tim Hardaway,0.363,0.008752,0.354,0.389,0.372,0.342,-0.03
66,Eric Bledsoe,0.357,0.013694,0.343,0.398,0.371,0.324,-0.047
22,Bradley Beal,0.402,-0.03374,0.301,0.436,0.368,0.409,0.041
107,J.J. Redick,0.395,-0.02648,0.315,0.422,0.368,0.437,0.069
182,Paul Pierce,0.373,-0.0053816,0.357,0.378,0.368,0.389,0.021
76,Gerald Henderson,0.348,0.018977,0.329,0.405,0.367,0.331,-0.036
122,Jrue Holiday,0.39,-0.022777,0.321,0.413,0.367,0.378,0.011
152,Marvin Williams,0.359,0.0072099,0.352,0.381,0.366,0.358,-0.008
166,Mo Williams,0.369,-0.0035368,0.358,0.373,0.366,0.342,-0.024
213,Steve Blake,0.376,-0.0097096,0.347,0.386,0.366,0.352,-0.014
235,Wesley Matthews,0.393,-0.027907,0.309,0.421,0.365,0.389,0.024
137,Kyle Singler,0.382,-0.01837,0.327,0.4,0.364,0.398,0.034
214,Steve Novak,0.426,-0.061705,0.24,0.488,0.364,0.396,0.032
142,Luke Babbitt,0.379,-0.016762,0.329,0.396,0.363,0.513,0.15
153,Matt Barnes,0.343,0.018975,0.324,0.4,0.362,0.362,0
168,Nate Robinson,0.377,-0.015278,0.331,0.392,0.362,0.277,-0.085
171,Nick Young,0.386,-0.024776,0.312,0.411,0.362,0.369,0.007
38,Chris Paul,0.368,-0.0079255,0.344,0.376,0.36,0.398,0.038
190,Randy Foye,0.38,-0.020765,0.318,0.401,0.36,0.357,-0.003
124,Kelly Olynyk,0.351,0.0070192,0.344,0.372,0.358,0.349,-0.009
140,LeBron James,0.379,-0.021881,0.314,0.401,0.358,0.354,-0.004
209,Shawn Marion,0.358,-0.00087236,0.355,0.359,0.357,0.261,-0.096
223,Tony Parker,0.373,-0.016554,0.323,0.39,0.357,0.427,0.07
49,Darren Collison,0.376,-0.020461,0.315,0.396,0.356,0.373,0.017
6,Al Harrington,0.34,0.01458,0.325,0.384,0.355,DNA,NA
18,Austin Rivers,0.364,-0.0095782,0.335,0.374,0.355,0.298,-0.057
74,George Hill,0.365,-0.0094888,0.336,0.374,0.355,0.358,0.003
88,Jamal Crawford,0.361,-0.0058627,0.343,0.367,0.355,0.327,-0.028
129,Kevin Durant,0.391,-0.036089,0.283,0.427,0.355,0.403,0.048
41,C.J. Watson,0.366,-0.014587,0.322,0.381,0.352,0.4,0.048
102,Jeremy Lamb,0.356,-0.0051405,0.341,0.361,0.351,0.342,-0.009
72,Francisco Garcia,0.358,-0.0085676,0.332,0.367,0.35,0.222,-0.128
173,Norris Cole,0.345,0.0050741,0.34,0.36,0.35,0.313,-0.037
53,Deron Williams,0.366,-0.017172,0.315,0.383,0.349,0.367,0.018
104,Jerryd Bayless,0.358,-0.0095992,0.329,0.368,0.349,0.308,-0.041
141,Lou Williams,0.342,0.0069869,0.335,0.363,0.349,0.34,-0.009
160,Mike Conley,0.361,-0.01183,0.325,0.373,0.349,0.386,0.037
205,Ryan Kelly,0.338,0.011171,0.327,0.371,0.349,0.336,-0.013
34,Chris Bosh,0.339,0.008637,0.33,0.365,0.348,0.375,0.027
236,Will Bynum,0.323,0.023903,0.299,0.395,0.347,0,-0.347
20,Ben McLemore,0.32,0.02487,0.295,0.395,0.345,0.358,0.013
191,Rashard Lewis,0.343,0.0019167,0.341,0.349,0.345,DNA,NA
127,Kentavious Caldwell-Pope,0.319,0.02487,0.294,0.393,0.344,0.345,0.001
145,Manu Ginobili,0.349,-0.0051429,0.334,0.354,0.344,0.345,0.001
128,Kent Bazemore,0.336,0.0052308,0.331,0.352,0.342,0.364,0.022
207,Shane Battier,0.348,-0.0054246,0.332,0.353,0.342,DNA,NA
30,Chandler Parsons,0.37,-0.030745,0.278,0.401,0.34,0.38,0.04
224,Tony Snell,0.32,0.020546,0.299,0.381,0.34,0.371,0.031
110,John Lucas,0.298,0.04109,0.257,0.421,0.339,0.31,-0.029
158,Michael Beasley,0.389,-0.049958,0.239,0.439,0.339,0.235,-0.104
97,Jarrett Jack,0.341,-0.0036988,0.33,0.345,0.338,0.267,-0.071
174,O.J. Mayo,0.37,-0.031856,0.275,0.402,0.338,0.357,0.019
228,Trey Burke,0.33,0.008752,0.321,0.356,0.338,0.318,-0.02
85,Isaiah Canaan,0.327,0.0084578,0.319,0.352,0.336,0.37,0.034
95,Jared Dudley,0.36,-0.023498,0.289,0.383,0.336,0.385,0.049
