,Player,Current3FGP,PredictedChange,95PLowerBound,95PUpperBound,MeanPredicted3FGP,Actual3FGP,Actual-MeanPrediction
222,Toney Douglas,0.304,-0.021822,0.238,0.326,0.282,0.278,-0.004
159,Michael Carter-Williams,0.264,0.016145,0.248,0.312,0.28,0.235,-0.045
185,Phil Pressey,0.264,0.016145,0.248,0.313,0.28,0.246,-0.034
9,Andray Blatche,0.278,0.00063839,0.277,0.28,0.278,DNA,NA
92,James Johnson,0.253,0.024517,0.229,0.326,0.278,0.216,-0.062
90,James Anderson,0.328,-0.051688,0.173,0.38,0.276,DNA,NA
96,Jared Sullinger,0.269,0.0067454,0.262,0.289,0.275,0.283,0.008
144,Luol Deng,0.302,-0.026887,0.221,0.329,0.275,0.355,0.08
215,Tayshaun Prince,0.29,-0.01533,0.244,0.305,0.274,0.463,0.189
188,Rajon Rondo,0.289,-0.015843,0.241,0.305,0.273,0.314,0.041
13,Anthony Bennett,0.245,0.026569,0.218,0.325,0.272,0.304,0.032
24,Brandon Knight,0.325,-0.055862,0.158,0.381,0.27,0.389,0.119
201,Rodney Stuckey,0.273,-0.010706,0.241,0.284,0.262,0.39,0.128
167,Nando De Colo,0.34,-0.080387,0.098,0.42,0.259,DNA,NA
189,Ramon Sessions,0.282,-0.023008,0.213,0.305,0.259,0.317,0.058
65,Elliot Williams,0.296,-0.041185,0.172,0.337,0.254,0.444,0.19
7,Alonzo Gee,0.328,-0.075353,0.101,0.404,0.252,0.371,0.119
5,Alexey Shved,0.294,-0.045116,0.159,0.339,0.249,0.338,0.089
42,Corey Brewer,0.28,-0.038059,0.165,0.318,0.242,0.268,0.026
150,Markieff Morris,0.315,-0.072591,0.097,0.387,0.242,0.318,0.076
106,Jimmy Butler,0.283,-0.046754,0.143,0.33,0.236,0.378,0.142
10,Andrea Bargnani,0.278,-0.042578,0.15,0.32,0.235,0.366,0.131
32,Charlie Villanueva,0.25,-0.015565,0.203,0.266,0.234,0.376,0.142
54,Derrick Williams,0.263,-0.035775,0.155,0.298,0.226,0.314,0.088
68,Ersan Ilyasova,0.282,-0.055912,0.114,0.338,0.226,0.389,0.163
8,Amir Johnson,0.303,-0.078252,0.068,0.382,0.225,0.413,0.188
80,Gordon Hayward,0.304,-0.089295,0.036,0.394,0.215,0.364,0.149
47,Darius Miller,0.325,-0.11576,-0.021,0.44,0.21,0,-0.21
221,Tobias Harris,0.254,-0.046175,0.116,0.3,0.208,0.364,0.156
230,Tyreke Evans,0.221,-0.023964,0.149,0.245,0.197,0.304,0.107
60,Donatas Motiejunas,0.25,-0.10125,-0.053,0.352,0.15,0.368,0.218
99,Jeffery Taylor,0.269,-0.12276,-0.1,0.391,0.146,0.306,0.16
225,Tony Wroten,0.213,-0.081116,-0.031,0.295,0.132,0.261,0.129
