,Player,Current3FGP,PredictedChange,95PLowerBound,95PUpperBound,MeanPredicted3FGP,Actual3FGP,Actual-MeanPrediction
39,Deron Williams,0.366,-0.01971,0.307,0.386,0.347,0.367,0.02
100,Kent Bazemore,0.336,0.010261,0.326,0.367,0.347,0.364,0.017
116,Manu Ginobili,0.349,-0.0021944,0.342,0.351,0.347,0.345,-0.002
21,Chandler Parsons,0.37,-0.024318,0.297,0.394,0.346,0.38,0.034
74,Jarrett Jack,0.341,0.0050936,0.336,0.356,0.346,0.267,-0.079
128,Mike Conley,0.361,-0.015531,0.314,0.377,0.346,0.386,0.04
167,Spencer Hawes,0.416,-0.070789,0.204,0.487,0.346,0.313,-0.033
189,Wilson Chandler,0.348,-0.0018905,0.342,0.35,0.346,0.342,-0.004
80,Jerryd Bayless,0.358,-0.012962,0.319,0.371,0.345,0.308,-0.037
7,Andre Iguodala,0.354,-0.0099543,0.324,0.364,0.344,0.349,0.005
138,Norris Cole,0.345,-0.0015425,0.34,0.347,0.344,0.313,-0.031
145,Paul George,0.364,-0.019906,0.304,0.384,0.344,0.409,0.065
186,Wesley Johnson,0.369,-0.025909,0.291,0.395,0.343,0.351,0.008
182,Trey Burke,0.33,0.012671,0.317,0.368,0.342,0.318,-0.024
178,Tony Snell,0.32,0.020539,0.3,0.382,0.341,0.371,0.03
12,Ben McLemore,0.32,0.020539,0.3,0.381,0.34,0.358,0.018
31,Courtney Lee,0.371,-0.030876,0.278,0.402,0.34,0.402,0.062
99,Kentavious Caldwell-Pope,0.319,0.020539,0.298,0.381,0.34,0.345,0.005
180,Travis Outlaw,0.35,-0.0098789,0.32,0.36,0.34,DNA,NA
184,Victor Oladipo,0.327,0.012671,0.314,0.365,0.34,0.339,-0.001
95,Kawhi Leonard,0.379,-0.040968,0.256,0.42,0.338,0.349,0.011
71,James Harden,0.366,-0.030525,0.274,0.397,0.336,0.375,0.039
33,Danny Granger,0.336,-0.0031769,0.326,0.339,0.332,0.357,0.025
114,Luke Ridnour,0.343,-0.011014,0.31,0.354,0.332,0.317,-0.015
55,Gary Neal,0.378,-0.047092,0.236,0.425,0.33,0.305,-0.025
69,Jameer Nelson,0.348,-0.018574,0.292,0.367,0.33,0.345,0.015
105,Kirk Hinrich,0.351,-0.021029,0.288,0.372,0.33,0.345,0.015
44,Dorell Wright,0.342,-0.016547,0.293,0.359,0.326,0.38,0.054
97,Kemba Walker,0.333,-0.0091175,0.306,0.342,0.324,0.304,-0.02
137,Nicolas Batum,0.361,-0.037596,0.248,0.399,0.324,0.324,0
142,Patrick Beverley,0.361,-0.038082,0.247,0.399,0.323,0.356,0.033
4,Alec Burks,0.35,-0.027951,0.266,0.378,0.322,0.382,0.06
183,Ty Lawson,0.356,-0.034385,0.253,0.39,0.322,0.341,0.019
119,Marcus Thornton,0.345,-0.02523,0.269,0.37,0.32,0.378,0.058
133,Monta Ellis,0.33,-0.0096703,0.301,0.34,0.32,0.285,-0.035
23,Chase Budinger,0.35,-0.031943,0.254,0.382,0.318,0.364,0.046
53,Evan Turner,0.321,-0.0040859,0.309,0.325,0.317,0.277,-0.04
87,Jordan Crawford,0.316,-0.0021923,0.309,0.318,0.314,DNA,NA
110,Kyrie Irving,0.358,-0.044909,0.223,0.403,0.313,0.415,0.102
158,Ricky Rubio,0.331,-0.019836,0.272,0.351,0.312,0.255,-0.057
188,Willie Green,0.339,-0.026878,0.258,0.366,0.312,0.347,0.035
66,Isaiah Thomas,0.349,-0.037741,0.235,0.387,0.311,0.373,0.062
15,Brandon Jennings,0.337,-0.027051,0.256,0.364,0.31,0.36,0.05
17,Brian Roberts,0.36,-0.050082,0.209,0.41,0.31,0.321,0.011
36,DeMar DeRozan,0.305,0.0057814,0.299,0.322,0.31,0.284,-0.026
76,Jeff Green,0.341,-0.030571,0.249,0.372,0.31,0.332,0.022
166,Shelvin Mack,0.337,-0.027723,0.254,0.365,0.31,0.315,0.005
52,Evan Fournier,0.376,-0.067408,0.174,0.444,0.309,0.378,0.069
77,Jeff Teague,0.329,-0.020898,0.266,0.35,0.308,0.343,0.035
89,Jordan Hamilton,0.354,-0.046746,0.214,0.401,0.308,0.476,0.168
51,E'Twaun Moore,0.354,-0.047638,0.211,0.402,0.306,0.342,0.036
140,Omri Casspi,0.347,-0.040685,0.225,0.388,0.306,0.402,0.096
159,Rudy Gay,0.33,-0.024128,0.258,0.354,0.306,0.359,0.053
3,Alan Anderson,0.339,-0.034574,0.235,0.374,0.304,0.348,0.044
160,Russell Westbrook,0.318,-0.015315,0.272,0.333,0.302,0.299,-0.003
40,Devin Harris,0.307,-0.011372,0.273,0.318,0.296,0.357,0.061
46,Earl Clark,0.336,-0.043079,0.207,0.379,0.293,0.286,-0.007
155,Raymond Felton,0.318,-0.025669,0.241,0.344,0.292,0.294,0.002
65,Iman Shumpert,0.333,-0.042546,0.205,0.375,0.29,0.342,0.052
93,Josh Smith,0.264,0.026219,0.238,0.342,0.29,0.316,0.026
171,Terrence Jones,0.307,-0.017437,0.255,0.324,0.29,0.351,0.061
173,Thabo Sefolosha,0.316,-0.026706,0.236,0.343,0.29,0.321,0.031
63,Harrison Barnes,0.347,-0.059344,0.169,0.406,0.288,0.405,0.117
90,Jose Barea,0.316,-0.027669,0.233,0.344,0.288,0.323,0.035
67,Jae Crowder,0.331,-0.044344,0.198,0.375,0.286,0.293,0.007
177,Toney Douglas,0.304,-0.018823,0.248,0.323,0.286,0.278,-0.008
115,Luol Deng,0.302,-0.01972,0.243,0.322,0.282,0.355,0.073
70,James Anderson,0.328,-0.047146,0.186,0.375,0.28,DNA,NA
73,Jared Sullinger,0.269,0.0075627,0.261,0.292,0.276,0.283,0.007
127,Michael Carter-Williams,0.264,0.012671,0.251,0.302,0.276,0.235,-0.041
149,Phil Pressey,0.264,0.012671,0.251,0.302,0.276,0.246,-0.03
16,Brandon Knight,0.325,-0.050872,0.172,0.376,0.274,0.389,0.115
47,Elliot Williams,0.296,-0.034074,0.193,0.33,0.262,0.444,0.182
151,Ramon Sessions,0.282,-0.023229,0.212,0.305,0.258,0.317,0.059
5,Alexey Shved,0.294,-0.037408,0.182,0.331,0.256,0.338,0.082
30,Corey Brewer,0.28,-0.032961,0.181,0.313,0.247,0.268,0.021
121,Markieff Morris,0.315,-0.071727,0.1,0.387,0.244,0.318,0.074
81,Jimmy Butler,0.283,-0.040058,0.163,0.323,0.243,0.378,0.135
6,Andrea Bargnani,0.278,-0.04149,0.154,0.32,0.237,0.366,0.129
26,Chris Johnson,0.339,-0.10968,0.011,0.449,0.23,0.295,0.065
50,Ersan Ilyasova,0.282,-0.054839,0.117,0.337,0.227,0.389,0.162
61,Gordon Hayward,0.304,-0.087331,0.043,0.391,0.217,0.364,0.147
176,Tobias Harris,0.254,-0.044034,0.122,0.298,0.21,0.364,0.154
24,Chris Bosh,0.339,-0.17105,-0.173,0.509,0.168,0.375,0.207
179,Tony Wroten,0.213,-0.073408,-0.007,0.287,0.14,0.261,0.121
